Prefix,Firstname,Lastname,Prefix_1,Firstname_1,Lastname_1,Label
logjuser,logjuserjakarta,logjuserjakartaapacheorg,logjuser,logjuserjakarta,email,F
cutepang,betty,betty,cutepang,betty,pang,F
daniel,daniel,daniel,daniel,daniel,serodio,F
logjuser,logj,group,logjuser,logj,jmolierenerimnet,F
logjuser,logj,logj,logjuser,logj,user,F
logjuser,logj,paduffyciscocom,logjuser,logj,jmolierenerimnet,F
mitchchristensen,mitchell,christensen,mitchchristensen,mitch,christensen,T
mkwhitacre,micah,whitacre,micahwhitacre,micah,whitacre,T
scott,scott,farquhar,scottfarquhar,scott,farquhar,T
logjuser,logj,email,logjuser,logj,paduffyciscocom,F
logjuser,logj,user,logjuser,logj,womackadobecom,F
tom,tom,white,tom,tom,purl,F
andreasfester,andreas,fester,afester,andreas,fester,T
billlogj,wjcarpenter,wjcarpenter,bill,wjcarpenter,wjcarpenter,T
dave,dave,gomboc,dave,dave,gosselin,F
jeff,jeff,drew,jeff,jeff,nichols,F
kris,kris,schneider,kris,kris,kris,F
mark,mark,derricutt,mark,mark,mark,F
martin,martin,diener,martin,martin,schrder,F
robert,robert,hedin,robert,robert,varga,F
dave,dave,dave,dave,dave,newton,F
listid,ceki,gulcu,cgu,ceki,gulcu,T
logjuser,logj,group,logjuser,logj,adamhmitchellgmailcom,F
logjuser,logj,group,logjuser,logj,vececochranecom,F
dimalinux,,,smj,,,F
max,max,max,max,max,andersen,F
nicholas,nicholas,williams,nicholas,nick,williams,T
rcrawford,richard,crawford,richardcrawford,richard,crawford,T
daniel,daniel,serodio,dserodio,daniel,serodio,T
eliotsykes,eliot,sykes,eliotsyk,eliot,sykes,T
jeff,jeff,turner,jeff,jeff,nichols,F
logjuser,,,logjuser,,logjuserloggingapacheorg,F
mark,mark,mark,mark,mark,duske,F
rakeshpatel,rakesh,patel,rakeshmailgroups,rakesh,patel,T
andepiel,andepiel,sl,andepiel,andepiel,andepiel,F
cgu,ceki,glc,noreply,ceki,glc,T
jamescakalic,cakalic,james,jamescakalic,cakalic,p,F
logjuser,logj,email,logjuser,logj,list,F
rabbitwkx,,,lvxiaoyi,,,F
luke,luke,luke,luke,luke,reeves,F
plin,,,hongcz,,,F
roland,roland,roland,wgl,roland,roland,F
jappdev,none,none,jappdev,tasso,none,F
logjuser,logj,vececochranecom,logjuser,logj,womackadobecom,F
logjuser,logjuser,logjuser,logjuser,logjuser,logjuserjakartaapacheorg,F
missjava,maha,asad,mahaasad,maha,asad,T
vin,vic,cekvenich,vin,vic,vic,F
bytek,stefan,bayer,bytek,bytek,bayer,F
guillaume,guillaume,alaux,guillaume,guillaume,guillaume,F
logjuser,jakarta,logj,logjuser,maillist,logj,F
logjuser,logj,oxspring,logjuser,logj,users,F
,,,dimalinux,,,F
dave,david,thielen,dave,david,liles,F
rcarazo,ral,carazo,rcarazo,,carazo,F
ceki,ceki,ceki,ceki,ceki,gulcu,F
listid,ceki,glc,cgu,ceki,glc,T
logjdevhelp,logj,email,logjuser,logj,email,T
acolic,alex,colic,alexcolic,alex,colic,T
logjuser,logj,jmolierenerimnet,logjuser,logj,vececochranecom,F
logjuserinfo,logjuserinfo,logjuserinfo,logjuserinfo,,logjuserinfo,F
steve,steve,vanspall,steve,steve,shabino,F
timwei,tim,wei,timwei,tim,weitm,T
emilu,emi,lu,emilu,emi,emi,T
owulff,oliver,wulff,oliverwulff,oliver,wulff,T
depasqua,peter,depasquale,peterdepasquale,peter,depasquale,T
logjuser,,logjuserloggingapacheorg,logjuser,logjuserloggingapacheorg,logjuserloggingapacheorg,F
logjuser,logj,users,logjuser,logj,womackadobecom,F
robert,robert,kleemann,robert,robert,hedin,F
sqiu,struts,struts,strutsuser,struts,struts,F
nathan,nathan,coast,nathan,nathan,nathan,F
cutepang,betty,pang,cutepang,betty,betty,F
daniel,daniel,serodio,daniel,daniel,daniel,F
grant,grant,monroe,grant,grant,gardner,F
jeff,jeff,drew,jeff,jeff,hodges,F
logjuser,logj,group,logjuser,logj,logj,F
mark,mark,duske,mark,mark,derricutt,F
charles,charles,villiers,charles,charles,strahan,F
logj,logj,logj,logjuser,logj,logj,F
logjuser,wendy,smoak,wsmoak,wendy,smoak,T
scohen,steve,cohen,stevec,steve,cohen,T
amar,amarnath,amarnath,amarnathvenugopal,amarnath,amarnath,F
hoju,jacob,kjome,logjuser,jacob,kjome,T
jeff,jeff,nichols,jeff,jeff,linwood,F
kevin,kevin,steppe,ksteppe,kevin,steppe,T
lamyolivier,olivier,lamy,olamy,olivier,lamy,T
lvxiaoyi,,,yhliu,,,F
mike,mike,mike,mike,mike,richmond,F
chris,chris,wensel,chris,chris,derham,F
dthielen,david,thielen,david,david,thielen,T
logjuser,logj,mailinglist,logjuser,logj,user,F
simonparkmail,simon,simon,simonx,simon,simon,F
tim,tim,watts,tim,tim,tim,F
dave,dave,newton,dave,dave,gomboc,F
mgainty,martin,gainty,martingainty,martin,gainty,T
neil,neil,neil,neil,neil,bhakta,F
trinexus,glen,stampoultzis,gstamp,glen,stampoultzis,F
jeff,jeff,drost,jeff,jeff,shaw,F
jhuxhorn,joern,huxhorn,jhuxhorn,jrn,huxhorn,T
logjuser,logj,mailinglist,logjuser,logj,adamhmitchellgmailcom,F
brettchenderson,brett,henderson,brett,brett,henderson,T
chris,chris,yoerg,chris,chris,bailey,F
chris,chris,yoerg,chris,chris,wensel,F
esoniat,ed,soniat,ed,ed,soniat,T
jeffrdrew,jeff,drew,jeffdrew,jeff,drew,T
oliverwulff,oliver,wulff,owulff,oliver,wulff,T
rg,gallagher,attsi,rg,gallagher,ron,F
steve,steve,pringle,steve,steve,shabino,F
adam,adam,rosien,adam,adam,milnesmith,F
chris,chris,hane,chris,chris,wensel,F
jeffdrew,jeff,drew,jeff,jeff,drew,T
minaret,geoff,geoff,geoff,geoff,geoff,F
logjuser,logj,list,logjdev,logj,list,T
logjuser,logj,users,logjuser,logj,email,F
oliverwork,oliver,burn,oliver,oliver,burn,T
ceki,ceki,gulcu,ceki,ceki,glc,F
logjuser,logj,users,logjuser,logj,,F
ralphgoers,ralphgoers,ralphgoers,ralphgoers,ralphgoers,dslextremecom,F
chris,chris,beauchamp,chris,chris,bailey,F
dave,dave,cramer,dave,dave,dave,F
jeff,jeff,drost,jeff,jeff,singer,F
logjuser,logj,vececochranecom,logjuser,logj,adamhmitchellgmailcom,F
wenjieding,wenjie,ding,wding,wenjie,ding,T
andrew,andrew,munn,andrew,andrew,ash,F
jeff,jeff,drew,jeffdrew,jeff,drew,T
jeff,jeff,shaw,jeff,jeff,drost,F
logjuser,logj,user,logjuser,logj,group,F
rob,rob,eden,rob,rob,gregory,F
robin,robin,robin,robin,robin,walker,F
scott,scott,rogers,scott,scott,scott,F
adam,adam,rosien,adam,adam,megacz,F
amarnath,amarnath,amarnath,amarnathvenugopal,amarnath,amarnath,F
chris,chris,derham,chris,chris,chris,F
dave,dave,gomboc,dave,dave,dave,F
jason,jason,dillon,jason,jason,bodnar,F
logjuser,logj,users,logjuser,logj,paduffyciscocom,F
madhavanvits,madhava,madhava,madhavraokulkarni,madhava,madhava,F
dirkstorck,storck,storck,dirkstorck,dirk,storck,T
rob,rob,leek,rob,rob,henley,F
smj,,,yhliu,,,F
vikramgoyal,vikram,goyal,gvix,vikram,goyal,T
alexeyvorobev,alexey,vorobev,alexeyvorobev,alexey,vorobiev,T
amarnathvenugopal,amarnath,amarnath,amar,amarnath,amarnath,F
carnold,curt,arnold,curtarnold,curt,arnold,T
dimalinux,,,lvxiaoyi,,,F
james,james,hughes,james,james,carman,F
logjuser,logj,logj,logjuser,logj,adamhmitchellgmailcom,F
jamshedqureshi,jamshed,teknoloji,jamshedqureshi,jamshed,qureshi,F
novotny,jason,novotny,jdnovotny,jason,novotny,T
chris,chris,dolan,chris,chris,hane,F
chris,chris,smith,chris,chris,jones,F
james,james,radvan,james,james,carman,F
logjuser,logj,user,logjuser,logj,paduffyciscocom,F
logjuser,logjuser,email,logjuser,ml,email,F
rmoland,rohnny,moland,rohnnym,rohnny,moland,T
shirishgoel,shirish,shirish,shirishgoel,shirish,goel,T
yhliu,,,wincn,,,F
mark,mark,mark,mark,mark,derricutt,F
jdoyle,doyle,jim,jdoyle,doyle,,F
logjuser,apache,list,logjuser,log,list,F
jeff,jeff,shaw,jeff,jeff,drew,F
logjuser,,list,logjuser,,logjuserloggingapacheorg,F
logjuser,mailing,list,logjuser,list,list,F
luke,luke,reeves,luke,luke,blanshard,F
ben,ben,bangert,ben,ben,short,F
chris,chris,yoerg,chris,chris,smith,F
logjuser,apache,list,logjuser,apache,logj,F
logjuser,logj,mailinglist,logjuser,logj,oxspring,F
logjuser,logj,mailinglist,logjuser,logj,womackadobecom,F
noreply,ceki,glc,ceki,ceki,glc,T
steve,steve,vanspall,steve,steve,pringle,F
chris,chris,carter,chris,chris,jones,F
chris,chris,smith,chris,chris,bailey,F
dave,david,liles,dave,david,thielen,F
dparmar,parmar,dipakkumar,dparmar,parmar,deepak,F
logjuser,list,list,logjuser,list,logjusers,F
vatlieb,joe,joe,joejump,joe,joe,F
erik,erik,assum,erik,erik,zijst,F
fromtony,tony,tony,dejatony,tony,tony,F
mqg,,,logjuser,,,F
strutsuser,struts,email,strutsuser,struts,list,F
chris,chris,beauchamp,chris,chris,derham,F
jasonnovotny,jason,novotny,jdnovotny,jason,novotny,T
logjuser,,logjuser,logjuser,,list,F
michael,michael,lasevich,michael,michael,duergner,F
wendysmoak,wendy,smoak,logjuser,wendy,smoak,T
xouthier,xavier,outhier,xavierouthier,xavier,outhier,T
ceki,ceki,,ceki,ceki,glc,F
chris,chris,beauchamp,chris,chris,smith,F
jameslawless,james,lawless,lawless,james,lawless,T
rabbitwkx,,,,,,F
robert,robert,palmer,robert,robert,hedin,F
logjuser,mailing,list,logjuser,logj,list,F
max,max,andersen,max,max,senft,F
stledger,ledger,w,stledger,st,w,F
zhujn,,,wincn,,,F
bytek,bytek,bayer,bytek,stefan,bayer,F
denis,denis,avdic,denis,denis,haskin,F
jstauffe,james,stauffer,jstauffe,james,,F
logjuser,list,logjusers,logjuser,list,mailing,F
logjuser,logj,users,logjuser,logj,adamhmitchellgmailcom,F
yhliu,,,plin,,,F
dev,tomcat,list,dev,maven,list,F
james,james,hughes,james,james,radvan,F
logjuser,logj,vececochranecom,logjuser,logj,list,F
robert,robert,kleemann,robert,robert,dodier,F
chris,chris,hane,chris,chris,bailey,F
jsh,jan,sogaard,jsh,jan,sgaard,T
leosliterak,leos,literak,literakl,leos,literak,T
logjuser,logj,list,logjuser,logj,users,F
opc,pedro,costa,pedrosacostapt,pedro,costa,T
scott,scott,farquhar,scott,scott,schram,F
chris,chris,carter,chris,chris,wensel,F
kevin,kevin,steppe,kevsteppe,kevin,steppe,T
logjuser,logj,mailinglist,logjuser,logj,list,F
mqg,,,betterjonah,,,F
rg,gallagher,ron,rongallagher,gallagher,ron,T
logjuser,logj,oxspring,logjuser,logj,email,F
logjuser,logj,paduffyciscocom,logjuser,logj,womackadobecom,F
logjuser,logjuser,list,logjuser,apache,list,F
mahantas,subhendu,subhendu,mahantas,subhendu,mahanta,F
scott,scott,scott,scott,scott,rogers,F
doug,doug,fraser,doug,doug,grimwade,F
mike,mike,mike,mike,mike,papper,F
gunter,gunter,sammet,pogosnowboards,gunter,sammet,T
logjuser,logjuser,list,logjuser,logj,list,F
timpotter,timothy,potter,tjp,timothy,potter,T
yuzhihong,ted,yu,zhihyu,ted,yu,T
barcia,barcia,barcia,barcia,roland,barcia,F
dave,dave,gosselin,dave,dave,cramer,F
emttang,,,zhujn,,,F
james,james,hughes,james,james,bellenger,F
jason,jason,briggs,jason,jason,dillon,F
lognetdev,lognet,list,lognetdev,lognet,dev,F
scott,scott,scott,scott,scott,farquhar,F
dparmar,parmar,dipakkumar,dipakkumarparmar,parmar,dipakkumar,T
gvix,vikram,goyal,tech,vikram,goyal,T
harinath,harinath,mallepally,harinathm,harinath,mallepally,T
logjuser,logjuser,logjuserjakartaapacheorg,logjuser,logjuser,logjuser,F
chris,chris,beauchamp,chris,chris,wensel,F
devnull,,,hongcz,,,F
jgamache,joe,gamache,gamache,joe,gamache,T
kevin,kevin,jamieson,kevin,kevin,goess,F
logjuser,list,logjusers,logjuser,list,list,F
logjuser,logj,logj,logjuser,logj,email,F
pgbakker,paul,bakker,pgbakker,paul,paul,F
james,james,bellenger,james,james,radvan,F
logjuser,logj,group,logjuser,logj,users,F
rajeyesh,rajesh,rajesh,raj,rajesh,rajesh,F
rob,rob,wygand,rob,rob,henley,F
dparmar,parmar,deepak,dparmar,parmar,dipakkumar,F
logjuser,logjuser,email,logjuser,logjuser,jakartaapacheorg,F
monocongo,james,adams,jadams,james,adams,T
vin,vic,vic,vin,vic,cekvenich,F
bryan,bryan,glennon,bryan,bryan,thompson,F
chris,chris,chris,chris,chris,beauchamp,F
chris,chris,jones,chris,chris,carter,F
ea,melissa,warnkin,missywarnkin,melissa,warnkin,T
epugh,pugh,eric,depugh,pugh,eric,T
jeff,jeff,drew,jeff,jeff,turner,F
logjuser,logj,paduffyciscocom,logjuser,logj,vececochranecom,F
logjuser,logjuser,list,logjuser,logjuser,email,F
mikaelstaldal,mikael,stldal,mikael,mikael,stldal,T
nareshka,naresh,agarwal,nareshiitd,naresh,agarwal,T
steve,steve,vanspall,steve,steve,steve,F
heinmeling,hein,meling,meling,hein,meling,T
logjuser,logjuser,jakartaapacheorg,logjuser,logjuser,list,F
logjuser,logjuser,list,logjuser,log,list,F
steve,steve,pringle,steve,steve,vanspall,F
steve,steve,shabino,steve,steve,steve,F
adam,adam,rosien,adam,adam,dudczak,F
brian,brian,weber,brian,brian,sutherland,F
joe,joseph,kuan,joe,joseph,walton,F
logjuser,logj,users,logjuser,logj,jmolierenerimnet,F
markjdesantis,desantis,is,markjdesantis,desantis,,T
missywarnkin,melissa,warnkin,ea,melissa,warnkin,T
steve,steve,shabino,steve,steve,pringle,F
javadevmtl,john,smith,mmuculus,john,smith,T
raj,rajesh,rajesh,rajeyesh,rajesh,rajesh,F
steved,steve,duran,sduran,steve,duran,T
dlarmee,donald,alterthought,dlarmee,donald,larmee,F
jasonchou,jinshin,chou,jasonchou,jason,chou,T
luke,luke,reeves,luke,luke,luke,F
scott,scott,farquhar,scott,scott,morgan,F
amar,amarnath,amarnath,amarnath,amarnath,amarnath,F
marcel,marcel,bruch,marcel,marcel,str,F
ralphgoers,,ralphgoers,ralphgoers,ralphgoers,ralphgoers,F
chris,chris,smith,chris,chris,derham,F
dev,maven,list,dev,tomcat,list,F
jeffsinger,jeff,singer,jeff,jeff,singer,T
logjuser,logjusers,list,logjuser,log,list,F
lormee,ronnie,ronnie,lormee,ronnie,choo,F
timdawson,tim,dawson,tdawson,tim,dawson,T
faxeggink,joerg,eggink,eggink,joerg,eggink,T
logjuser,users,logj,logjuser,maillist,logj,F
,,,zhujn,,,F
dkx,karr,david,davidkarr,karr,david,T
logjuser,logj,,logjuser,,,F
logjuser,logj,vececochranecom,logjuser,logj,logj,F
logjuser,logjusers,logjusers,logjuser,logjusers,list,F
lohmann,frankolaf,lohmann,lohmann,frankolaf,dc,F
mbosteelsdns,maarten,bosteels,maartenb,maarten,bosteels,T
agrawal,anuj,agrawal,agrawalanuj,anuj,agrawal,T
chris,chris,derham,chris,chris,hane,F
hdeng,hongchao,deng,fengjingchao,hongchao,deng,T
logjuser,users,logj,logjuser,jakarta,logj,F
mg,maciej,gawinecki,mgawinecki,maciej,gawinecki,T
robert,robert,varga,robert,robert,palmer,F
arobertson,alan,,arobertson,alan,robertson,F
augustynr,robert,,augustynr,robert,augustyn,F
logjuser,logj,logj,logjuser,logj,womackadobecom,F
mark,mark,anderson,mark,mark,derricutt,F
logjuser,,,wincn,,,F
logjuser,users,logj,logjuser,apache,logj,F
nathan,nathan,nathan,nathan,nathan,sullivan,F
steve,steve,steve,steve,steve,pringle,F
elegance,jenny,jenny,xwhu,jenny,jenny,F
jeff,jeff,hodges,jeff,jeff,nichols,F
logjuser,list,list,logjuser,,list,F
oliver,oliver,burn,oliver,oliver,epper,F
thomasfuerst,fuerst,webde,thomasfuerst,fuerst,thomas,F
wincn,,,yhliu,,,F
charles,charles,charles,csw,charles,charles,F
dave,dave,gomboc,dave,dave,bender,F
jeff,jeff,drost,jeff,jeff,turner,F
logjuser,logj,jmolierenerimnet,logjuser,logj,mailinglist,F
logjuser,logjuser,logjuser,logjuser,logjuser,jakartaapacheorg,F
marsht,tom,marsh,marsht,thomas,marsh,F
mike,mike,heffner,mike,mike,papper,F
nathancoast,nathan,coast,nathan,nathan,coast,T
ralph,ralph,mellor,ralph,ralph,ralph,F
rob,rob,henley,rob,rob,eden,F
shef,chris,chris,chris,chris,chris,F
betterjonah,,,lvxiaoyi,,,F
betterjonah,,,rabbitwkx,,,F
rakeshmailgroups,rakesh,mailgroups,rakeshmailgroups,rakesh,patel,F
wding,wenjie,ding,wenjieding,wenjie,ding,T
ceki,ceki,gulcu,cgu,ceki,gulcu,T
groups,barry,kaplan,bkaplan,barry,kaplan,T
logjuser,logjuser,email,logjuser,logj,email,F
chris,chris,jones,chris,chris,wensel,F
davidj,dave,johnson,snoopdave,dave,johnson,T
jlinwood,jeff,linwood,jeff,jeff,linwood,T
logjuser,logj,vececochranecom,logjuser,logj,email,F
logjuser,logjuserjakartaapacheorg,,logjuser,logj,,F
ben,ben,short,jaminshort,ben,short,T
chong,ong,ebgpgm,chong,ong,cpgm,F
chris,chris,yoerg,chris,chris,derham,F
dave,david,thielen,david,david,thielen,T
logj,jim,moore,moorejim,jim,moore,T
michim,michi,mutsuzaki,michi,michi,mutsuzaki,T
patrickwyss,patrick,patrick,patrickwyss,wyss,patrick,T
wincn,,,dimalinux,,,F
davidkarr,karr,david,dkx,karr,david,T
elihusmails,mark,mark,mark,mark,mark,F
nabble,bakermatt,bakermatt,bakermattl,bakermatt,bakermatt,F
robert,robert,dodier,robert,robert,kleemann,F
skitching,simon,kitching,simon,simon,kitching,T
tomcatuser,tomcat,list,tomcatuser,tomcat,mailinglist,F
yairog,yair,ogen,yairogen,yair,ogen,T
cekigulcu,ceki,gulcu,listid,ceki,gulcu,T
chris,chris,carter,chris,chris,beauchamp,F
ito,eduardo,ito,eduardoito,eduardo,ito,T
rakeshpatel,rakesh,patel,rpatel,rakesh,patel,T
rthomascontrib,ray,thomas,rthomas,ray,thomas,T
strutsuser,struts,list,strutsuser,struts,struts,F
ashishkulkarni,ashish,kulkarni,kulkarniash,ashish,kulkarni,T
jonwilmoth,jon,wilmoth,jwilmoth,jon,wilmoth,T
mqg,,,yhliu,,,F
amarnath,amarnath,amarnath,amar,amarnath,amarnath,F
devnull,,,lvxiaoyi,,,F
logjuser,log,apache,logjuser,log,list,F
logjuser,logj,group,logjuser,logj,user,F
michael,michael,smith,michael,michael,lasevich,F
betterjonah,,,yhliu,,,F
betterjonah,,,zhujn,,,F
cerebrotecnologico,jorge,medina,jmedina,jorge,medina,T
logjuser,logj,jmolierenerimnet,logjuser,logj,logj,F
luke,luke,luke,luke,luke,blanshard,F
marcoesch,marc,oesch,marcoesch,marc,privat,F
sean,sean,kroah,sean,sean,carr,F
wincn,,,betterjonah,,,F
kevin,kevin,steppe,kevin,kevin,kevin,F
logjuser,logj,jmolierenerimnet,logjuser,logj,paduffyciscocom,F
logjuser,logj,user,logjuser,logj,adamhmitchellgmailcom,F
womack,mark,womack,mwomack,mark,womack,T
ivanfollender,follender,ivan,ivanfollender,follender,hbo,F
logjuser,,list,logjuser,apache,list,F
mikebk,mike,blakeknox,mikeblakeknox,mike,blakeknox,T
pmolleti,powell,molleti,powellm,powell,molleti,T
scott,scott,scott,scott,scott,morgan,F
trbala,bala,subramanian,balalk,bala,subramanian,T
zhujn,,,smj,,,F
david,david,karlsen,david,david,hosier,F
jeff,jeff,drew,jeffrdrew,jeff,drew,T
jsh,jan,sgaard,jsh,jan,sogaard,T
kevin,kevin,kevin,ksteppe,kevin,kevin,F
logjuser,logjuser,jakartaapacheorg,logjuser,logjuser,logjuserjakartaapacheorg,F
wincn,,,emttang,,,F
zhujn,,,devnull,,,F
chris,chris,wensel,chris,chris,smith,F
logjuser,users,logj,logjuser,logj,logj,F
logjuser,logj,logj,logjuser,logj,vececochranecom,F
logjuser,logj,womackadobecom,logjuser,logj,email,F
marsht,thomas,marsh,marsht,tom,marsh,F
rob,rob,wygand,rob,rob,gregory,F
sshaikh,samir,shaikh,sshaikh,sajid,shaikh,F
chris,chris,smith,chris,chris,beauchamp,F
logjuser,,list,logjuser,,,F
maartenb,maarten,bosteels,mbosteelsdns,maarten,bosteels,T
adam,adam,dudczak,adam,adam,rosien,F
dave,dave,bender,dave,dave,newton,F
jeff,jeff,shaw,jeff,jeff,singer,F
jeff,jeff,singer,jeff,jeff,drew,F
m,mike,schilli,logperl,mike,schilli,T
xwhu,hu,hu,xhu,hu,hu,F
cgu,ceki,lc,cgu,ceki,email,F
jason,jason,briggs,jason,jason,bodnar,F
erik,erik,zijst,erik,erik,erik,F
logjuser,logj,users,logjuser,logj,user,T
mark,mark,anderson,mda,mark,anderson,T
mark,mark,derricutt,mark,mark,masse,F
mark,mark,mark,elihusmails,mark,mark,F
mike,mike,heffner,mike,mike,calmus,F
takacsbence,takacs,bence,bence,takacs,bence,T
cgu,ceki,gulcu,listid,ceki,gulcu,T
heinrichgoetzger,heinrich,gtzger,goetzger,heinrich,gtzger,T
jason,jason,fletcher,jason,jason,bodnar,F
jason,jason,fletcher,jason,jason,briggs,F
jeff,jeff,hodges,jeff,jeff,drost,F
msumanthak,sumantha,kannantha,msumanthak,m,kannantha,F
,,,wincn,,,F
dave,dave,gosselin,dave,dave,bender,F
rabbitwkx,,,hongcz,,,F
raghuveerv,raghuveer,v,raghuveerv,raghuveer,raghuveer,F
rgs,raul,segales,rgs,raul,s,F
sdeboy,scott,deboy,scottdeboy,scott,deboy,T
chris,chris,carter,chris,chris,hane,F
clido,doug,clifton,dougclifton,doug,clifton,T
logjuser,log,list,logjuser,,list,F
logjuser,logj,logj,logjuser,logj,list,F
logjuser,logj,paduffyciscocom,logjuser,logj,adamhmitchellgmailcom,F
luke,luke,blanshard,luke,luke,luke,F
brian,brian,sutherland,brian,brian,weber,F
gunter,gunter,sammet,gunter,gunter,gunter,F
logjuser,logj,,logjuser,logj,group,F
logjuser,logj,logj,logjuser,logj,mailinglist,F
plin,,,emttang,,,F
